,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
40,,1.0,0.0,,,,1.0,,1.0,,2.0,3.0,2.0,,1.0,0.0,,1.0,,,,,,,,,,,,,
41,3.0,0.0,,2.0,2.0,7.0,0.0,1.0,1.0,2.0,,,,1.0,5.0,3.0,3.0,0.0,,,,,,,,,,,,,
42,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,,,,,,
43,0.0,7.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,,,,,,,,,,,,,
44,2.0,,,0.0,2.0,0.0,5.0,2.0,1.0,,0.0,2.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,1.0,2.0,,,,,,,,,,
45,,,,0.0,1.0,,,,,,2.0,3.0,,,,,3.0,4.0,,4.0,0.0,,,,,,,,,,
46,3.0,,,,,3.0,0.0,1.0,0.0,,,,1.0,2.0,2.0,1.0,,4.0,5.0,1.0,,,,,,,,,,,
47,,,,,0.0,2.0,0.0,,2.0,,,1.0,,2.0,,,,0.0,1.0,1.0,1.0,,,,,,,,,,
48,1.0,,,0.0,,3.0,3.0,,3.0,,2.0,,2.0,,,5.0,0.0,,,1.0,,,,,,,,,,,
49,3.0,,,,4.0,,,1.0,1.0,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,5.0,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,
51,1.0,,,1.0,0.0,2.0,2.0,1.0,0.0,,,,2.0,,,1.0,3.0,1.0,3.0,2.0,0.0,,,,,,,,,,
52,,,,1.0,1.0,,2.0,3.0,0.0,,,,3.0,0.0,,4.0,,0.0,2.0,1.0,0.0,,,,,,,,,,
53,1.0,,,,2.0,1.0,2.0,1.0,1.0,,2.0,4.0,1.0,2.0,3.0,2.0,2.0,,,0.0,,,,,,,,,,,
54,1.0,,,1.0,4.0,0.0,2.0,2.0,1.0,,1.0,2.0,1.0,6.0,4.0,3.0,3.0,0.0,1.0,0.0,2.0,,,,,,,,,,
55,1.0,,,0.0,1.0,,4.0,5.0,,,0.0,2.0,3.0,1.0,2.0,2.0,0.0,,,4.0,3.0,,,,,,,,,,
56,2.0,,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,,5.0,3.0,2.0,0.0,,,,,,,,,,,
57,1.0,,,0.0,1.0,2.0,,1.0,4.0,,1.0,1.0,,,5.0,0.0,,2.0,,,1.0,,,,,,,,,,
58,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,2.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,,,,,,,,,,
59,0.0,,,0.0,1.0,1.0,4.0,1.0,0.0,,1.0,3.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,,,,,,,,,,
60,,,,1.0,0.0,4.0,3.0,1.0,1.0,,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,,1.0,,,,,,,,,,
61,1.0,,,1.0,5.0,2.0,1.0,2.0,,,0.0,4.0,3.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,
62,1.0,,,,,,3.0,,0.0,,1.0,2.0,,,2.0,3.0,1.0,,1.0,,0.0,,,,,,,,,,
63,2.0,,,0.0,1.0,2.0,6.0,1.0,0.0,,2.0,1.0,0.0,1.0,,,1.0,1.0,,0.0,,,,,,,,,,,
64,1.0,,,2.0,0.0,1.0,1.0,5.0,1.0,,0.0,0.0,,1.0,3.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,
65,1.0,,,2.0,,,,,,,0.0,2.0,0.0,1.0,4.0,3.0,2.0,,2.0,,,,,,,,,,,,
66,0.0,,,1.0,0.0,5.0,5.0,3.0,2.0,,3.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,
67,,,,1.0,,1.0,,2.0,1.0,,1.0,,2.0,2.0,2.0,0.0,,0.0,,2.0,2.0,,,,,,,,,,
68,,,,1.0,,6.0,,,,,,0.0,,,2.0,,,,0.0,,0.0,,,,,,,,,,
69,1.0,,,,1.0,3.0,3.0,,,,1.0,,,4.0,0.0,2.0,,2.0,4.0,0.0,3.0,,,,,,,,,,
70,0.0,,,0.0,0.0,1.0,,,3.0,,,,3.0,1.0,3.0,2.0,0.0,2.0,,,0.0,,,,,,,,,,
71,1.0,,,,2.0,3.0,1.0,1.0,3.0,,,2.0,,1.0,1.0,0.0,0.0,1.0,,0.0,1.0,,,,,,,,,,
72,2.0,,,0.0,1.0,2.0,3.0,3.0,2.0,,0.0,0.0,0.0,,,,3.0,,1.0,2.0,2.0,,,,,,,,,,
73,3.0,,,0.0,,,,,1.0,,6.0,4.0,0.0,1.0,,,2.0,0.0,0.0,,,,,,,,,,,,
74,,,,,,2.0,2.0,0.0,,,,,2.0,,1.0,1.0,,,0.0,0.0,,,,,,,,,,,
75,5.0,,,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,
76,,,,2.0,0.0,,3.0,0.0,3.0,,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,,,,,,,,,,
77,0.0,,,2.0,1.0,5.0,9.0,1.0,3.0,,2.0,3.0,1.0,2.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,
78,0.0,,,0.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,
79,0.0,,,2.0,2.0,1.0,0.0,1.0,1.0,,5.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,,,,,,,,,,
80,3.0,,,2.0,2.0,0.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,,,,,,,,,,
81,0.0,,,1.0,4.0,3.0,,1.0,1.0,,6.0,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,
82,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,1.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,,,,,,,,,,
83,1.0,,,3.0,2.0,,2.0,2.0,2.0,,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,
84,,,,0.0,,3.0,,0.0,,,0.0,,2.0,,,,,,0.0,,,,,,,,,,,,
85,0.0,,,,0.0,2.0,3.0,3.0,1.0,,0.0,0.0,,3.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,,,,,,,,,,
86,0.0,,,,2.0,3.0,1.0,2.0,2.0,,2.0,4.0,,,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
87,,,,0.0,,,3.0,,,,,,1.0,3.0,,3.0,,,,,0.0,,,,,,,,,,
88,2.0,,,4.0,1.0,4.0,5.0,6.0,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,,,,,,,,,,
89,0.0,0.0,,0.0,3.0,2.0,1.0,0.0,0.0,,0.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,2.0,,,,,,,,,,,
90,3.0,2.0,,2.0,1.0,3.0,,1.0,0.0,,,0.0,3.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,,,,,,,,,,,
91,0.0,4.0,,0.0,1.0,1.0,2.0,0.0,4.0,,5.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,,,,,,,,,,,
92,0.0,1.0,,0.0,1.0,3.0,2.0,3.0,0.0,,1.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,,,,,,,,,,,
