,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
426,,,,,2.0,3.0,4.0,1.0,,,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,,2.0,,,5.0,4.0,0.0,,,,
427,,,,,1.0,2.0,3.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,,1.0,,,0.0,4.0,1.0,,,,
428,,,,,0.0,1.0,2.0,0.0,,,2.0,3.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,,0.0,,,3.0,4.0,0.0,,,,
429,,,,,1.0,0.0,3.0,2.0,,,2.0,5.0,2.0,4.0,0.0,2.0,1.0,1.0,3.0,3.0,,3.0,,,3.0,0.0,2.0,,,,
430,,,,,0.0,2.0,2.0,0.0,,,2.0,1.0,1.0,2.0,4.0,0.0,1.0,4.0,1.0,0.0,,0.0,,,1.0,6.0,1.0,,,,
431,,,,,1.0,2.0,2.0,0.0,,,3.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,1.0,0.0,2.0,,,,
432,,,,,0.0,1.0,4.0,4.0,,,2.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,,1.0,,,1.0,2.0,2.0,,,,
433,,,,,1.0,2.0,2.0,1.0,,,1.0,0.0,4.0,0.0,2.0,1.0,5.0,5.0,1.0,4.0,,3.0,,,2.0,2.0,3.0,,,,
434,,,,,1.0,0.0,3.0,5.0,,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,4.0,,,0.0,3.0,0.0,,,,
435,,,,,1.0,1.0,4.0,0.0,2.0,,2.0,2.0,1.0,,2.0,0.0,3.0,2.0,0.0,1.0,,0.0,,,0.0,2.0,0.0,,,,
436,,,,,2.0,1.0,5.0,2.0,0.0,,1.0,0.0,2.0,,3.0,4.0,0.0,2.0,1.0,4.0,,0.0,,,2.0,2.0,0.0,,,,
437,,,,,1.0,3.0,2.0,1.0,2.0,,1.0,0.0,5.0,,1.0,2.0,4.0,0.0,2.0,2.0,,1.0,,,0.0,1.0,2.0,,,,
438,,,,,0.0,6.0,4.0,3.0,2.0,,2.0,1.0,4.0,,2.0,1.0,3.0,2.0,1.0,0.0,,1.0,,,3.0,1.0,1.0,,,,
