,Value
0,-0.013692031958686391
1,-0.38008621798220565
2,0.35572279737642637
3,0.6620380850004532
4,0.7059840488672092
5,0.2791653294013989
6,0.3794982788732281
7,-1.1446165735037812
8,-0.4160451744286675
9,0.08234496970847593
10,0.17901728396484534
11,0.6925190442717715
12,-0.5740595485389705
13,-0.19444165728591611
14,-0.4456504300340934
15,-0.03167026439733185
16,-0.51608593293849
17,-0.4702688600081467
18,-0.1631360679726796
19,0.619684671644268
