,Sparta,Den Bosch,Cambuur,For Sittard,Graafschap,PSV Eindhoven,Ajax,Utrecht,Waalwijk,MVV Maastricht,Heerenveen,Roda,Twente,Willem II,Feyenoord,Vitesse,AZ Alkmaar,Nijmegen,NAC Breda,Groningen,Roosendaal,Excelsior,Zwolle,Volendam,Den Haag,Heracles,VVV Venlo,Go Ahead Eagles,Dordrecht,FC Emmen,Almere City
107,,,,,0.0,3.0,3.0,0.0,1.0,,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,,,,,,,,
108,,,,,0.0,4.0,2.0,1.0,0.0,,2.0,3.0,3.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,,,,,,,,
109,,,,,0.0,2.0,2.0,2.0,0.0,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,,,,,,,,
110,,,,,1.0,0.0,6.0,1.0,3.0,,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
111,,,,,0.0,5.0,1.0,,1.0,,2.0,5.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,
112,,,,,1.0,0.0,3.0,1.0,0.0,,3.0,,0.0,0.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,
113,,,,,1.0,3.0,1.0,1.0,0.0,,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
114,,,,,1.0,1.0,6.0,2.0,1.0,,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,3.0,3.0,4.0,0.0,1.0,,,,,,,,
115,,,,,3.0,3.0,3.0,3.0,1.0,,0.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,
116,,,,,1.0,2.0,2.0,1.0,0.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,0.0,,0.0,,,,,,,,
117,,,,,1.0,3.0,1.0,1.0,2.0,,3.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,,0.0,1.0,1.0,,,,,,,,,
118,,,,,1.0,4.0,2.0,2.0,0.0,,2.0,2.0,2.0,1.0,6.0,,1.0,0.0,1.0,3.0,,2.0,0.0,,,,,,,,
119,,,,,3.0,1.0,2.0,0.0,0.0,,2.0,1.0,3.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,
120,,,,,,3.0,6.0,,1.0,,1.0,,2.0,0.0,4.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,
121,,,,,0.0,1.0,1.0,2.0,0.0,,5.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,,,,,,,
122,,,,,1.0,6.0,2.0,1.0,1.0,,5.0,0.0,1.0,5.0,4.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,
123,,,,,0.0,1.0,0.0,1.0,1.0,,,2.0,0.0,,4.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,,,,,,,,
124,,,,,1.0,1.0,2.0,2.0,2.0,,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,,,,,,,,
125,,,,,0.0,2.0,5.0,4.0,3.0,,0.0,0.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,
126,,,,,2.0,5.0,2.0,0.0,4.0,,3.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,
127,,,,,1.0,2.0,0.0,0.0,1.0,,0.0,2.0,2.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,,,,,,,,
128,,,,,3.0,1.0,4.0,1.0,2.0,,3.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,,,,,,,,
129,,,,,0.0,3.0,3.0,1.0,1.0,,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,,,,,,,,
130,,,,,0.0,2.0,4.0,4.0,3.0,,0.0,2.0,0.0,3.0,3.0,1.0,0.0,1.0,,,0.0,1.0,1.0,,,,,,,,
131,,,,,1.0,6.0,3.0,2.0,3.0,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
132,,,,,4.0,2.0,6.0,1.0,1.0,,5.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,3.0,3.0,,,,,,,,
133,,,,,0.0,7.0,2.0,0.0,1.0,,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,
134,,,,,1.0,1.0,7.0,4.0,2.0,,1.0,4.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,,,,,,,,
135,,,,,1.0,2.0,2.0,0.0,0.0,,6.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,,,,,,,
136,,,,,1.0,0.0,3.0,3.0,0.0,,0.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,,,,,,,,
137,,,,,,2.0,2.0,1.0,1.0,,1.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,,,,
138,,,,,,6.0,1.0,1.0,3.0,,1.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,,0.0,3.0,1.0,,,,,,
139,,,,,,2.0,1.0,0.0,3.0,,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,0.0,0.0,0.0,,,,,,
140,,,,,,2.0,4.0,1.0,1.0,,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,,0.0,1.0,1.0,,,,,,
141,,,,,,3.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,,1.0,2.0,1.0,,,,,,
