,FTR,Season,HomeTeamID,AwayTeamID,Outcome,PowerH,PowerA,ProbA,ProbD,ProbH,Prediction
0,1.0,1.0,0.0,11.0,1.0,0.35572299043809663,-0.19444742626929734,0.45975754749743936,0.2628031212270784,0.2774393312784822,0.0
1,2.0,1.0,4.0,5.0,2.0,0.3794971755451753,-1.144617126141952,0.8086410254812416,0.1324982360635392,0.058860738458219236,0.0
2,2.0,1.0,14.0,16.0,2.0,-0.5160854199270282,-0.1631393809586212,0.1576505069999167,0.21962239277988108,0.6227271002232022,2.0
3,0.0,1.0,18.0,8.0,0.0,0.0,0.1790165777555292,0.2032039416536954,0.24163114280595202,0.5551649155433526,2.0
4,1.0,1.0,19.0,13.0,1.0,0.0,-0.03167258729755945,0.2677795560518449,0.2609065939626755,0.4713138499884795,2.0
5,0.0,1.0,20.0,17.0,0.0,0.0,0.0,0.25745386500234735,0.2586171662973761,0.4839289687032765,2.0
6,2.0,1.0,7.0,10.0,2.0,0.0823451916850027,-0.5740587644089054,0.5020700977960235,0.2549342970928026,0.24299560511417387,0.0
7,2.0,1.0,15.0,12.0,2.0,-0.4702679704480404,-0.4456483642214197,0.24957284059154397,0.2566804819366075,0.4937466774748485,2.0
8,2.0,1.0,6.0,3.0,2.0,-0.41604088340341666,0.27916723092510404,0.08908305563782584,0.16717879349208645,0.7437381508730877,2.0
9,1.0,1.0,19.0,17.0,1.0,-0.004736985301779694,-0.013909167972896652,0.26042270189232175,0.25930380458803615,0.48027349352264204,2.0
10,2.0,1.0,16.0,20.0,2.0,-0.13561549573592127,0.013909167972896652,0.21164119717205168,0.2448689705191516,0.5434898323117967,2.0
11,0.0,1.0,4.0,11.0,0.0,0.37342769678544113,-0.1986813108275814,0.4684741716764117,0.26139058391396,0.27013524441262826,0.0
12,0.0,1.0,3.0,10.0,0.0,0.3117442709061939,-0.5597503006056823,0.5871732982911105,0.23188695199214718,0.18093974971974228,0.0
13,2.0,1.0,18.0,19.0,2.0,0.015995045082602063,-0.00937947777664842,0.26570980049515647,0.2604697321588692,0.47382046734897426,2.0
14,2.0,1.0,13.0,8.0,2.0,-0.026935601995779757,0.16302153267292713,0.20012576355471925,0.2403898296088869,0.5594844068393938,2.0
15,2.0,1.0,17.0,15.0,2.0,-0.007362263862689673,-0.4931757699504016,0.434314001880326,0.26627958976097543,0.2994064083616985,0.0
16,2.0,1.0,0.0,6.0,2.0,0.3599568749963807,-0.4486179233845065,0.5625193654886426,0.23950376242327484,0.19797687209108258,0.0
17,0.0,1.0,12.0,14.0,0.0,-0.4227405647190585,-0.5436093051497282,0.2979359507843127,0.26608183113694234,0.4359822180817449,2.0
18,0.0,1.0,7.0,5.0,0.0,0.06803672788177972,-1.1385476473822178,0.7106789935828158,0.18310014188626397,0.10622086453392013,0.0
19,2.0,1.0,8.0,20.0,2.0,0.18985591142403874,0.03712237999268157,0.3090723753739004,0.26745931417544366,0.42346831045365585,2.0
20,1.0,1.0,5.0,13.0,1.0,-1.1430411251365098,-0.05048068267128296,0.04059912999038775,0.10573976171365143,0.8536611082989608,2.0
21,1.0,1.0,6.0,17.0,1.0,-0.43097771154293857,-0.02058493069246026,0.14420689742712736,0.2114479215384554,0.6443451810374172,2.0
22,2.0,1.0,19.0,4.0,2.0,0.012396548696929532,0.3819306374019166,0.1536866731535648,0.21730081799125192,0.6290125088581833,2.0
23,1.0,1.0,18.0,11.0,1.0,-0.007063324220365274,-0.20518707668059183,0.3252415305997909,0.2689803084663053,0.4057781609369038,2.0
24,2.0,1.0,8.0,16.0,2.0,0.16822089932741213,-0.16306850549439825,0.37451237976601326,0.2703864703568306,0.35510114988015606,0.0
25,1.0,1.0,12.0,10.0,1.0,-0.415892306397348,-0.567720554852191,0.3087534869062344,0.26742368210750467,0.4238228309892609,2.0
26,2.0,1.0,15.0,0.0,2.0,-0.4740856397715087,0.34781062012596997,0.0703605233138607,0.14686395075199468,0.7827755259371446,2.0
27,0.0,1.0,3.0,5.0,0.0,0.3106263718924349,-1.1674042472720085,0.7958292214307842,0.13970461281511723,0.06446616575709861,0.0
28,2.0,1.0,6.0,19.0,2.0,-0.44183931338427374,-0.016633118995051314,0.1408694712290153,0.20928213586070601,0.6498483929132787,2.0
29,2.0,1.0,4.0,16.0,2.0,0.40944565248783116,-0.14485057797815926,0.46139546456974545,0.2625461647943913,0.2760583706388632,0.0
30,2.0,1.0,14.0,8.0,2.0,-0.5495627944894956,0.15109834195268587,0.08820747660286568,0.16630197336533228,0.745490550034802,2.0
31,2.0,1.0,10.0,18.0,2.0,-0.565709857440302,-0.00819897788107232,0.11338409416888132,0.1891186410461916,0.6974972647879271,2.0
32,1.0,1.0,11.0,12.0,1.0,-0.20223312883701916,-0.42158946619943577,0.33292208212081864,0.26951155284852024,0.39756636503366105,2.0
33,1.0,1.0,13.0,15.0,1.0,-0.02435757280358138,-0.5081951873580265,0.43353657190508044,0.26637027646248435,0.30009315163543515,0.0
34,1.0,1.0,17.0,7.0,1.0,-0.0060953392153657235,0.07412722716171714,0.23225597325235628,0.2518194649455252,0.5159245618051185,2.0
35,0.0,1.0,0.0,20.0,0.0,0.38311820698825333,0.053858856493165505,0.3737431592268108,0.27039955711523445,0.3558572836609547,0.0
36,2.0,1.0,18.0,20.0,2.0,0.02315634469441722,0.037941438753210044,0.25270553064212053,0.2574703470103726,0.4898241223505068,2.0
37,2.0,1.0,18.0,4.0,2.0,-0.001982301548714257,0.39088979534286133,0.1482225551388733,0.21398020122177056,0.6377972436423561,2.0
38,2.0,1.0,5.0,0.0,2.0,-1.1675018990332797,0.3907367976273674,0.013571550975261438,0.05094274593367045,0.9354857030940681,2.0
