,FTR,Season,HomeTeamID,AwayTeamID,Outcome,Ha,Aa,Hb,Ab,ProbA,ProbD,ProbH,Prediction
0,1.0,1.0,0.0,11.0,1.0,-0.0565315212698298,0.1707909718610835,0.0,0.0334207287379876,1.0,1.0,1.0,1.0
1,2.0,1.0,4.0,5.0,2.0,-0.3016595776682983,0.7659564029409119,-0.1217235955752353,0.9964938078139768,1.0,1.0,1.0,1.0
2,2.0,1.0,14.0,16.0,2.0,0.2191469891793213,0.3358725302423293,0.3513620398295381,-0.1430914479404,1.0,1.0,1.0,1.0
3,0.0,1.0,18.0,8.0,0.0,-0.4065219806529402,-0.1686471063842513,0.0,-0.2758156327818351,1.0,1.0,1.0,1.0
4,1.0,1.0,19.0,13.0,1.0,0.0,0.0460971468117176,0.0,-0.2131164687757585,1.0,1.0,1.0,1.0
5,0.0,1.0,20.0,17.0,0.0,0.0,-0.5833677685128552,0.0,0.0,1.0,1.0,1.0,1.0
6,2.0,1.0,7.0,10.0,2.0,0.0367737902508858,0.2741181085638126,-0.1331928465128384,0.4073629477144993,1.0,1.0,1.0,1.0
7,2.0,1.0,15.0,12.0,2.0,0.2609264340657106,0.0247865391861692,0.2806365303655022,0.5545463123689722,1.0,1.0,1.0,1.0
8,2.0,1.0,6.0,3.0,2.0,0.3777388251628026,-0.1129228514778153,0.0241487703873952,-0.0222810429701503,1.0,1.0,1.0,1.0
9,1.0,1.0,19.0,17.0,1.0,-0.012702244984038314,-0.5483091896592556,0.0012794159524238972,-0.005366833784396257,1.0,1.0,1.0,1.0
10,2.0,1.0,16.0,20.0,2.0,0.3199066486021187,0.004838713765839325,-0.14233009511562217,-0.038885037332184846,1.0,1.0,1.0,1.0
11,0.0,1.0,4.0,11.0,0.0,-0.27552365654860494,0.1822354877920488,-0.07802951031103811,0.02276221282563423,1.0,1.0,1.0,1.0
12,0.0,1.0,3.0,10.0,0.0,-0.127060932459513,0.24975050535770896,-0.07406009766646526,0.3890442354399272,1.0,1.0,1.0,1.0
13,2.0,1.0,18.0,19.0,2.0,-0.42675046033429975,0.018764883735395935,-0.002791131624079176,-0.04859252440817072,1.0,1.0,1.0,1.0
14,2.0,1.0,13.0,8.0,2.0,0.0449436310089314,-0.16613063437221176,-0.19902784092608244,-0.25337932151925674,1.0,1.0,1.0,1.0
