,FTR,Season,HomeTeamID,AwayTeamID,Outcome,Ha,Aa,Hb,Ab,ProbA,ProbD,ProbH,Prediction
0,2.0,1.0,20.0,22.0,2.0,0.0,0.0,0.0,0.0,0.2716513991618624,0.2713690372173292,0.4569759259996958,2.0
1,2.0,1.0,1.0,8.0,2.0,0.01664580362343,0.0059730640364127,0.4241195513052531,-0.0298449370551606,0.16911810101985322,0.26825370547679084,0.5626232102443913,2.0
2,0.0,1.0,2.0,4.0,0.0,-0.0909146619520421,-0.1187742225198524,-0.0521945063638367,-0.0084754992644252,0.2728891971100275,0.28510806173501957,0.44200087640463687,2.0
3,1.0,1.0,11.0,17.0,1.0,-0.1596619712825665,-0.1342039084530058,-0.1033321498476391,-0.1879343224512452,0.25674198422700845,0.2682513952183925,0.47500215108289573,2.0
4,2.0,1.0,3.0,9.0,2.0,0.1105214950812167,0.1405343518555981,0.1846480124188275,0.03605666527515,0.24249246807756822,0.2615613500273318,0.4959397726969294,2.0
5,1.0,1.0,15.0,14.0,1.0,0.0727238029281221,-0.1340031963781688,-0.077856635855469,0.405546005687229,0.3304957082943119,0.31440670832892814,0.3550972197757797,2.0
6,2.0,1.0,19.0,18.0,2.0,-0.0354164620779712,-0.3081199378076775,0.5687443498204958,-0.275898573083627,0.0810468288421096,0.21317393141038776,0.7057554676194033,2.0
7,2.0,1.0,12.0,0.0,2.0,0.1151678025548738,0.3475139324477002,-0.1045678038376544,0.16929296753414,0.4351317157283808,0.2462903219651253,0.31856617420096645,0.0
8,2.0,1.0,10.0,21.0,2.0,0.0945404476044431,0.0,0.0504096469117552,0.0,0.23621875876949375,0.2584984994511491,0.5052752352160941,2.0
9,2.0,1.0,16.0,5.0,2.0,0.645896535469027,0.2136452463495693,0.0893073325549681,-0.0697632191879746,0.12470641768162871,0.15015983715670977,0.724242151814063,2.0
10,2.0,1.0,0.0,19.0,2.0,0.3259753300243312,-0.045825602596092245,0.17452345971894787,0.575752886400797,0.2683399732865679,0.3159494898906376,0.41571006581283854,2.0
11,2.0,1.0,18.0,1.0,2.0,-0.31382241549772416,0.0447642994858722,-0.2631053898296037,0.4099256534145719,0.5348034012546358,0.2811096182020068,0.18408400216441945,0.0
