,FTR,Season,HomeTeamID,AwayTeamID,Outcome,PowerH,PowerA,ProbA,ProbD,ProbH,Prediction
43,2.0,1.0,19.0,22.0,2.0,-0.4615147350668524,-0.057776173779660565,0.15340398494316845,0.22647778843116687,0.6201182266286647,2.0
44,2.0,1.0,16.0,12.0,2.0,-1.1757256462803598,-0.16680283511578112,0.051855057694433125,0.1292990683954535,0.8188458739131134,2.0
45,0.0,1.0,4.0,9.0,0.0,0.010821640058803633,0.055883523217236844,0.2535800623485561,0.26750831706472383,0.47891162058972,2.0
46,1.0,1.0,5.0,1.0,1.0,-0.03938333127700788,-0.3296215547455619,0.37146867620558355,0.27959193372047975,0.34893939007693664,0.0
47,1.0,1.0,11.0,20.0,1.0,0.34350712091044816,-0.01736177071770337,0.39845995082509333,0.27835694915469944,0.32318310002320716,0.0
48,2.0,1.0,10.0,8.0,2.0,-0.03949516122522301,-0.06190155995865768,0.2756551407161829,0.2722433568249098,0.4521015024619072,2.0
49,2.0,1.0,0.0,2.0,2.0,-0.5522267892324895,0.250351836756365,0.0776899456478263,0.16282988900671305,0.7594801653484606,2.0
50,2.0,1.0,14.0,18.0,2.0,-0.20940372628906445,0.5012125037492432,0.09195360239684827,0.17809401731653277,0.729952380289619,2.0
51,2.0,1.0,20.0,10.0,2.0,-0.006086020524818501,-0.04948223621194662,0.28271056727921307,0.2734901271436001,0.44379930558018676,2.0
52,0.0,1.0,9.0,16.0,0.0,-0.046962885541084305,-1.152977715611876,0.68715799277359,0.19853989018523652,0.11430211704417345,0.0
53,0.0,1.0,3.0,21.0,0.0,-0.4147427890738545,0.03852700464237028,0.14197816847464476,0.21919581693813886,0.6388260145902164,2.0
54,2.0,1.0,17.0,5.0,2.0,0.29448125820410065,-0.003178138881539375,0.37427766857974143,0.27952471622417807,0.34619761519908043,0.0
55,2.0,1.0,12.0,11.0,2.0,-0.0371237750965365,0.3432589102910428,0.15899741653033275,0.2298074081588594,0.6111951753138078,2.0
56,0.0,1.0,1.0,15.0,0.0,-0.3327480417356737,-0.1309163003618376,0.2060977957728393,0.2525327127604554,0.5413694914697053,2.0
57,1.0,1.0,22.0,4.0,1.0,0.08509571726247805,0.05731943733748027,0.27745188269163723,0.2725727308041615,0.4499753865072012,2.0
58,1.0,1.0,8.0,19.0,1.0,-0.01119996491010107,-0.4723650471255432,0.4376069910341084,0.27435048060082645,0.2880425283680651,0.0
59,0.0,1.0,18.0,17.0,0.0,0.5535917826529342,0.15504609881411935,0.41306853917293274,0.277158126146193,0.3097733346838742,0.0
60,0.0,1.0,2.0,8.0,0.0,0.33721245272748945,-0.06696753951252561,0.41526407145624267,0.2769469204336825,0.30778900811307475,0.0
61,1.0,1.0,11.0,3.0,1.0,0.42393289098548337,-0.34035059755409824,0.5580705833079541,0.24764913865141172,0.1942802780436341,0.0
62,1.0,1.0,21.0,0.0,1.0,-0.05721091455827844,-0.6137916334716419,0.4754313199644862,0.26818282409240485,0.2563858559461089,0.0
63,1.0,1.0,19.0,12.0,1.0,-0.3964485211753175,-0.23426915972966755,0.21758255661379136,0.2568101490942363,0.5256072942949723,2.0
64,1.0,1.0,16.0,1.0,1.0,-1.048760616462178,-0.2823311566232746,0.08308224965729352,0.16883066840047126,0.7480870819452352,2.0
65,1.0,1.0,4.0,14.0,1.0,0.028379945949695198,-0.27879681676528933,0.3778898638956225,0.27941695898994895,0.34269317711742847,0.0
66,0.0,1.0,5.0,20.0,0.0,0.053736456077804126,-0.06783411349081872,0.3097236999497517,0.2771529510838836,0.41312334896936465,2.0
67,1.0,1.0,10.0,22.0,1.0,0.08626410459722812,-0.009486972495175734,0.3006774221468974,0.276116528157562,0.42320604969854053,2.0
68,1.0,1.0,15.0,9.0,1.0,-0.09592084544726591,0.004841953928093351,0.2360806121115088,0.26279614892342473,0.5011232389680664,2.0
69,2.0,1.0,14.0,11.0,2.0,-0.18244887688015743,0.3680291372400824,0.12126583577538577,0.20417749725189774,0.6745566669757165,2.0
