,FTR,Season,HomeTeamID,AwayTeamID,Outcome,Ha,Aa,Hb,Ab,ProbA,ProbD,ProbH,Prediction
3312,0.0,11.0,14.0,16.0,0.0,0.2104495705393382,0.3581310134920025,0.12918209124453459,0.29435032287684737,0.3565034297069292,0.266342399774774,0.37715153538002827,2.0
3313,0.0,11.0,4.0,18.0,0.0,-0.30017112400806933,0.0064784811097042365,-0.017758436933953244,-0.05491091212393566,0.3306624724244735,0.2965360560719225,0.3728009049245779,2.0
3314,0.0,11.0,10.0,21.0,0.0,0.34447002657784875,-0.07879121789166402,-0.1132579709365473,-0.2732595036949852,0.12644544603775879,0.1602458574057606,0.7128597399483997,2.0
3315,2.0,11.0,12.0,5.0,2.0,0.3767404399380575,0.6259302451866123,0.5373864570607607,0.6187220909723379,0.349899855495092,0.29103357400999297,0.35906584953672227,2.0
3316,0.0,11.0,13.0,11.0,0.0,-0.10686197517838371,0.3301681080844583,-0.4393693067129524,0.029022230573557586,0.584372060540014,0.2037531953304907,0.21177452540523173,0.0
3317,2.0,11.0,6.0,25.0,2.0,0.612272249145058,0.29513024270176613,0.44099826658578306,-0.04393319828152858,0.09291145569861242,0.14243852693949385,0.7640512957429493,2.0
3318,2.0,11.0,19.0,26.0,2.0,0.3082511363450032,-0.0922601774232126,0.028046300035300363,-0.2387314357694727,0.11694079039590036,0.16679362980811188,0.7160035374743287,2.0
3319,0.0,11.0,7.0,24.0,0.0,0.11150282903683645,0.24322654709511218,0.24108030746326614,-0.013822989267702849,0.23652018368861338,0.24960897534546622,0.5138618358666642,2.0
3320,2.0,11.0,15.0,17.0,2.0,0.05350231879085388,-0.0032734947384612982,-0.07831721039691798,-0.03145833767505491,0.2656717634659346,0.25458140053131706,0.479740225419108,2.0
3321,1.0,11.0,16.0,18.0,1.0,0.3541318043494526,0.03446783279558631,0.31584936182430456,-0.05141430378439817,0.12055524649072681,0.18968659381989333,0.6896713500883807,2.0
3322,2.0,11.0,24.0,15.0,2.0,0.27138292009265097,0.060386273855322546,-0.0184567662929825,-0.0754640053191879,0.1998414874871732,0.21350866142769728,0.58659522522351,2.0
3323,1.0,11.0,21.0,4.0,1.0,-0.04964225961225918,-0.30317850270117147,-0.260568613621551,-0.05053621042268857,0.2548434407524937,0.26925297788930985,0.47590036732784236,2.0
3324,0.0,11.0,26.0,17.0,0.0,-0.07642614180236115,-0.00646925238098702,-0.24614477979449192,-0.0385882925381579,0.347858467127733,0.26164334411033885,0.3904947181388462,2.0
3325,0.0,11.0,13.0,25.0,0.0,-0.06790265663492939,0.2811831293650805,-0.4836044423960115,-0.048544817294433495,0.5487901039729284,0.20662985213694648,0.24448183558028616,0.0
3326,2.0,11.0,6.0,19.0,2.0,0.6159125110692073,0.3145866189488541,0.45500659560435003,0.010422438831739524,0.10286275237661681,0.153424797214343,0.7433032493271229,2.0
3327,1.0,11.0,5.0,10.0,1.0,0.609492410645167,0.3335461007118413,0.6041991296105698,-0.1447011230102751,0.06417289676920203,0.11515617805460675,0.8194421584915691,2.0
3328,1.0,11.0,12.0,11.0,1.0,0.38956474808045083,0.36957257780897,0.556273273596681,-0.014375679064446496,0.1352421719544057,0.19387814922055302,0.6707939514952864,2.0
3329,0.0,11.0,7.0,14.0,0.0,0.11547656207590687,0.19050786567187467,0.20797361287487076,0.13410174867166902,0.2660296151727834,0.2713793092932371,0.4625883095752587,2.0
