HomeTeam,AwayTeam,FTHG,FTAG,Proba_Home_win,Proba_Draw,Proba_Away_win,round
Feyenoord,AZ Alkmaar,0.0,3.0,0.17525180659034795,0.2574348702732382,0.329233552206621,759.0
FC Emmen,Den Haag,3.0,0.0,0.25530361829609144,0.27276719666357085,0.22813049515949213,759.0
VVV Venlo,Heerenveen,0.0,3.0,0.18625277363085851,0.3045792586362,0.2231898585263265,759.0
Ajax,Groningen,2.0,0.0,0.297049863891461,0.2866908614862372,0.12862154939364998,760.0
For Sittard,Sparta,0.0,0.0,0.15057525172715683,0.30498485406901327,0.2515116429720533,760.0
Waalwijk,Vitesse,1.0,2.0,0.17073641547755075,0.27101049635795077,0.30231520519809496,760.0
Utrecht,Willem II,2.0,0.0,0.2890630154747317,0.2653830613665637,0.20931053377038683,760.0
Zwolle,PSV Eindhoven,0.0,4.0,0.09697358561444996,0.21638456587443797,0.4337512025403977,760.0
AZ Alkmaar,Heracles,2.0,0.0,0.3758257836232037,0.24037567563035334,0.15610796276952235,760.0
Feyenoord,Twente,5.0,1.0,0.20534283024084948,0.2687339894313236,0.28398654340179164,760.0
Groningen,Waalwijk,3.0,0.0,0.22583190253244398,0.30328189745622003,0.18608960643206301,761.0
Heracles,FC Emmen,2.0,0.0,0.2899060777186834,0.2562494548918642,0.23827413222491603,761.0
Sparta,Twente,2.0,1.0,0.16561350484236825,0.2904847125781755,0.2667824051462677,761.0
Vitesse,Utrecht,2.0,1.0,0.2288175706990873,0.286695645094695,0.2205694518768691,761.0
Heerenveen,Zwolle,1.0,0.0,0.33140896958429394,0.2620123022681721,0.15118281523948107,761.0
Den Haag,Ajax,0.0,2.0,0.09599354936203944,0.22017602649534856,0.42625382988489513,761.0
For Sittard,Feyenoord,4.0,2.0,0.153627736625144,0.2830545760752931,0.28887820940992276,761.0
PSV Eindhoven,VVV Venlo,4.0,1.0,0.3076531391431987,0.2752814891219256,0.1466274344064007,761.0
Willem II,AZ Alkmaar,1.0,1.0,0.09688963339971134,0.20252904562784174,0.46206872767253176,761.0
AZ Alkmaar,Heerenveen,2.0,4.0,0.2731670414271076,0.28799201834577126,0.1632966082405802,762.0
Waalwijk,Ajax,1.0,2.0,0.08852504653119492,0.21799326121524862,0.4297697781769195,762.0
Twente,Willem II,0.0,1.0,0.3564153213377628,0.2503719146113337,0.1491634015372478,762.0
Utrecht,PSV Eindhoven,3.0,0.0,0.12853111350127722,0.2686631440054121,0.3288202217282572,762.0
VVV Venlo,Vitesse,0.0,4.0,0.19523662571323486,0.2864552183563178,0.2520948486280346,762.0
Zwolle,Den Haag,3.0,1.0,0.2389902509416258,0.2648799790984246,0.26592276701665374,762.0
FC Emmen,For Sittard,2.0,1.0,0.21167048678125253,0.3011435135643417,0.20582671661610719,762.0
Groningen,Sparta,2.0,0.0,0.19217616433858353,0.31580764067225325,0.19635600152675667,762.0
Feyenoord,Heracles,1.0,1.0,0.2888300735878919,0.2511974151099372,0.25615073846252523,762.0
Twente,FC Emmen,4.0,1.0,0.33728215020933044,0.2623063367254158,0.13658219097485216,763.0
Willem II,Waalwijk,2.0,1.0,0.25988054808168654,0.2632734074180266,0.2501431958965216,763.0
For Sittard,VVV Venlo,4.0,1.0,0.15711117682809364,0.30405367173949444,0.24822942307315343,763.0
Vitesse,Den Haag,0.0,2.0,0.3403340242592254,0.2562957777758561,0.15766313701134552,763.0
Heracles,Zwolle,4.0,0.0,0.3615185152306088,0.24169318116010477,0.18461431326336675,763.0
Heerenveen,Groningen,1.0,1.0,0.210759258354577,0.3189480896799427,0.17087596130111224,763.0
PSV Eindhoven,AZ Alkmaar,0.0,4.0,0.21407079837666163,0.27865904482229276,0.25351953714540004,763.0
Sparta,Utrecht,1.0,2.0,0.18751908012777832,0.30004994819358044,0.23086098821771647,763.0
Ajax,Feyenoord,4.0,0.0,0.3023617327970517,0.25994416810113846,0.20936857375429122,763.0
Zwolle,Ajax,2.0,4.0,0.08211056615870917,0.20088721282728086,0.4613054837947138,764.0
Waalwijk,Heracles,2.0,0.0,0.18729747629082374,0.25975880685324976,0.3171449832670268,764.0
Sparta,PSV Eindhoven,2.0,2.0,0.1237387949381329,0.2503400630537758,0.3648284658421986,764.0
AZ Alkmaar,Twente,3.0,0.0,0.25537065920552904,0.2902308311008982,0.18148381881562467,764.0
FC Emmen,Vitesse,2.0,1.0,0.16832359096144756,0.25642382904717503,0.3350276588534986,764.0
Groningen,Willem II,2.0,0.0,0.2638681840263445,0.27929003999547974,0.19997088873753738,764.0
Utrecht,For Sittard,6.0,0.0,0.2224953873011161,0.315418639275611,0.1644469877350035,764.0
VVV Venlo,Feyenoord,0.0,3.0,0.18334999182170778,0.27076582175240177,0.2948434026292195,764.0
Den Haag,Heerenveen,1.0,1.0,0.150908827899716,0.27570198178090677,0.30448195811195206,764.0
Vitesse,Groningen,1.0,2.0,0.21203224489661565,0.2997841853840311,0.2083288998469217,765.0
Heerenveen,Sparta,2.0,1.0,0.23587316599412278,0.29978556514135063,0.1823031723481958,765.0
For Sittard,Den Haag,1.0,0.0,0.18304734775593387,0.2981216880584378,0.23847743183721598,765.0
Heracles,VVV Venlo,6.0,1.0,0.22783627296417636,0.2674109924329915,0.26915534934486873,765.0
Ajax,Utrecht,4.0,0.0,0.326070533780299,0.27050863304010275,0.12719594532478856,765.0
Twente,Zwolle,2.0,1.0,0.3656593305178661,0.24946255715894586,0.12677524907742846,765.0
Willem II,PSV Eindhoven,2.0,1.0,0.09943795306153573,0.2011333522303101,0.46566109614869095,765.0
Feyenoord,Waalwijk,3.0,2.0,0.34747965898099575,0.2538360958857556,0.15321951828638977,765.0
AZ Alkmaar,FC Emmen,3.0,0.0,0.3608715334320402,0.2524743755409951,0.1233107039143585,765.0
Utrecht,AZ Alkmaar,0.0,3.0,0.11083848338779463,0.26097709598355945,0.3492905431732814,766.0
Ajax,Heracles,4.0,1.0,0.3658686402949272,0.24626492325925964,0.14714271513182908,766.0
Zwolle,For Sittard,3.0,1.0,0.17996564628180647,0.29119599494035564,0.25463357009002563,766.0
Den Haag,Willem II,3.0,3.0,0.23589317609360771,0.25887116650761355,0.2847708560814269,766.0
Groningen,Feyenoord,1.0,1.0,0.16827665556646493,0.2794940271453101,0.2864540115721717,766.0
PSV Eindhoven,Heerenveen,2.0,1.0,0.27737035024896556,0.286645805692454,0.1608976309733851,766.0
Waalwijk,FC Emmen,1.0,1.0,0.21701155655304635,0.27888827977202857,0.25038636553095034,766.0
Sparta,Vitesse,2.0,0.0,0.1925176742485471,0.27884630700253893,0.2706672353061071,766.0
VVV Venlo,Twente,2.0,1.0,0.12557382957318558,0.28040480823840325,0.3094323171483698,766.0
Heerenveen,Vitesse,3.0,2.0,0.22568477881831103,0.2898455608728756,0.21640475903612663,767.0
Willem II,Sparta,4.0,0.0,0.19757401608082117,0.26537370840852365,0.2974782519878774,767.0
For Sittard,Groningen,1.0,0.0,0.14445964078550277,0.3221328084019758,0.2278421824868831,767.0
Heracles,Den Haag,4.0,0.0,0.3048218304877321,0.2559459468442186,0.22009122057805958,767.0
Twente,Ajax,2.0,5.0,0.18912058434818757,0.2877645803670026,0.2543331823236538,767.0
Utrecht,Waalwijk,0.0,1.0,0.2472954326688251,0.28761877629722266,0.19799595040007598,767.0
AZ Alkmaar,VVV Venlo,1.0,0.0,0.3094715034207595,0.27723869089758246,0.1363931562877466,767.0
Feyenoord,Zwolle,1.0,0.0,0.40452144002587004,0.22953619076790613,0.13836216203913146,767.0
FC Emmen,PSV Eindhoven,1.0,1.0,0.11577270735708217,0.2388047912957358,0.3889813727528142,767.0
Ajax,Willem II,0.0,2.0,0.4353131952748708,0.21616398002266096,0.11217215057050522,768.0
Den Haag,Twente,0.0,0.0,0.10441709217266555,0.23705945713712653,0.39391979078876893,768.0
PSV Eindhoven,For Sittard,5.0,0.0,0.32438593156629564,0.27522991204921726,0.11240141494092465,768.0
VVV Venlo,FC Emmen,2.0,0.0,0.252396057214317,0.28572777165280794,0.19675140981759257,768.0
Zwolle,AZ Alkmaar,0.0,3.0,0.09047626929830478,0.20945210547588258,0.44652051736151754,768.0
Vitesse,Feyenoord,0.0,0.0,0.1840910415844597,0.2536998721470602,0.3330752518336705,768.0
Groningen,Utrecht,0.0,1.0,0.1853963937331898,0.3083929948765851,0.2167095995496968,768.0
Waalwijk,Heerenveen,1.0,3.0,0.16123044661870206,0.290359073455458,0.2701191595154317,768.0
Sparta,Heracles,0.0,0.0,0.19590065883283814,0.26869568514375225,0.2909340128965844,768.0
Heerenveen,Willem II,1.0,2.0,0.2950735336254525,0.26816287305081,0.19167456557773188,769.0
Den Haag,Groningen,1.0,1.0,0.1634931737077948,0.29072167965754964,0.2678443230995775,769.0
For Sittard,Waalwijk,3.0,2.0,0.18448166241211042,0.302118873543871,0.22949090739685732,769.0
VVV Venlo,Zwolle,1.0,2.0,0.3031825108447285,0.27079636545856206,0.17004561815768485,769.0
Twente,Vitesse,0.0,3.0,0.2758975761071099,0.2804715002776469,0.18074209228546118,769.0
FC Emmen,Sparta,2.0,0.0,0.19232725442287285,0.2804584013308683,0.2673081091193509,769.0
Feyenoord,PSV Eindhoven,3.0,1.0,0.20453295982742214,0.2687749843792838,0.2844952854983405,769.0
AZ Alkmaar,Ajax,1.0,0.0,0.23491079959840191,0.27410833155645864,0.2455582990252502,769.0
Heracles,Utrecht,1.0,3.0,0.24503688589044578,0.2683471276426483,0.250887055426474,769.0
Waalwijk,Twente,3.0,0.0,0.11401790607145405,0.2520302291270898,0.3643437526551099,770.0
Heerenveen,Heracles,1.0,1.0,0.26338111587897095,0.2684137143018924,0.2314816400077034,770.0
PSV Eindhoven,Zwolle,4.0,1.0,0.4041395126937794,0.2310919079709313,0.11728956526830532,770.0
Sparta,AZ Alkmaar,3.0,0.0,0.11024224180492422,0.2517447225875998,0.36585308120124915,770.0
Willem II,For Sittard,0.0,0.0,0.22262491025500983,0.28262366991220694,0.23636599105130193,770.0
Ajax,Den Haag,6.0,1.0,0.42304072959025063,0.22197928582613505,0.103253516233221,770.0
Groningen,FC Emmen,2.0,0.0,0.22268648467564345,0.29962584873990583,0.1975355305918123,770.0
Utrecht,Feyenoord,1.0,2.0,0.1848718521581443,0.27054636963974665,0.29431607404955956,770.0
Vitesse,VVV Venlo,3.0,0.0,0.2350921416177121,0.28441154464150076,0.21955302286500578,770.0
Zwolle,Utrecht,3.0,3.0,0.1532479475758,0.2612663944519063,0.3319663771585776,771.0
For Sittard,Vitesse,1.0,3.0,0.1701800043008503,0.2982443486022369,0.24869448884366835,771.0
Feyenoord,Heerenveen,3.0,1.0,0.2479453406602876,0.27866023383480365,0.22032517780234537,771.0
Twente,Groningen,0.0,0.0,0.23975297071705334,0.30962524191208923,0.15554472213627207,771.0
AZ Alkmaar,Willem II,1.0,3.0,0.397585712869401,0.23253006628821488,0.14005733689883476,771.0
VVV Venlo,PSV Eindhoven,1.0,1.0,0.13129226641889472,0.27343715698837023,0.3189012459231704,771.0
Ajax,Sparta,2.0,1.0,0.3065743902095469,0.2778643471822729,0.13971482688623932,771.0
FC Emmen,Heracles,1.0,0.0,0.2002434240469265,0.24985827914137188,0.3332570044855199,771.0
Den Haag,Waalwijk,2.0,0.0,0.17495091179175043,0.278045239354955,0.28496460201838897,771.0
Utrecht,Den Haag,4.0,0.0,0.26939329956745184,0.28389765615880636,0.17994239846643864,772.0
Heerenveen,AZ Alkmaar,1.0,2.0,0.14009431005091783,0.2744019256577672,0.31276256977722466,772.0
Heracles,Feyenoord,2.0,3.0,0.21836999320867495,0.2454807917632984,0.3333542021150747,772.0
Waalwijk,VVV Venlo,1.0,2.0,0.1552644000408569,0.2851264325967771,0.28394562159274683,772.0
Sparta,For Sittard,1.0,1.0,0.2121071363585349,0.3076290793478956,0.19192515652626238,772.0
Vitesse,FC Emmen,1.0,1.0,0.2660068918420938,0.2731015644692763,0.21489239794264606,772.0
Groningen,Ajax,2.0,1.0,0.13119843454179614,0.28080712263028296,0.30582680601939294,772.0
Willem II,Zwolle,0.0,0.0,0.2972154695844168,0.25162652436299476,0.24493428062437167,772.0
PSV Eindhoven,Twente,1.0,1.0,0.23205646466699567,0.28930051632063775,0.21098875871930478,772.0
AZ Alkmaar,Waalwijk,4.0,0.0,0.38038744737476243,0.24375208944296428,0.11094717611714953,773.0
Den Haag,Vitesse,0.0,0.0,0.13891815762039628,0.2480680665796422,0.3647764217500016,773.0
Feyenoord,FC Emmen,3.0,0.0,0.33729412404140313,0.2523418012076194,0.18213274396296925,773.0
Twente,Sparta,2.0,0.0,0.2924986194460307,0.2832874972083254,0.14697708994695244,773.0
Zwolle,Groningen,1.0,0.0,0.1729912570350433,0.28740864982140957,0.2674188029985263,773.0
Willem II,Heracles,1.0,0.0,0.22567724294710315,0.23567732429383448,0.35505197581485476,773.0
For Sittard,Heerenveen,2.0,1.0,0.14619551442107623,0.30936979521066993,0.2473338226004321,773.0
VVV Venlo,Utrecht,1.0,1.0,0.21486180212861175,0.304963258994151,0.19450678882389272,773.0
Ajax,PSV Eindhoven,1.0,0.0,0.214678599417124,0.27621992136435664,0.25874335517974006,773.0
Heracles,For Sittard,2.0,0.0,0.2726751434549305,0.27861944060127325,0.1905125710889759,774.0
Groningen,Vitesse,1.0,0.0,0.18159781896026006,0.2948198441345854,0.2461537955946111,774.0
Heerenveen,VVV Venlo,1.0,1.0,0.2018905711601832,0.3048475758857539,0.20799110177985433,774.0
PSV Eindhoven,Willem II,3.0,0.0,0.42431530937267203,0.22128535939781813,0.12292517501489068,774.0
Waalwijk,Zwolle,0.0,0.0,0.22414754158660527,0.2741508992229941,0.255450754433554,774.0
FC Emmen,Twente,2.0,0.0,0.12158209967356085,0.2568713503589766,0.35315397128197207,774.0
Sparta,Den Haag,4.0,2.0,0.24980468985486864,0.28327075446596567,0.2061794258002212,774.0
VVV Venlo,Heracles,1.0,0.0,0.23715966967360516,0.2722185789783201,0.2482660640744292,775.0
Twente,AZ Alkmaar,2.0,0.0,0.17643497199439873,0.2865899282048696,0.26652167931392423,775.0
Den Haag,PSV Eindhoven,0.0,3.0,0.08293264391569861,0.21079231022388276,0.442454508821611,775.0
For Sittard,FC Emmen,0.0,0.0,0.1887698958184381,0.3010533108398729,0.22778788480450743,775.0
Vitesse,Heerenveen,4.0,2.0,0.20305268118797945,0.2885745117135688,0.24085557239292707,775.0
Ajax,Waalwijk,3.0,0.0,0.3783662556949165,0.2440288988135429,0.11824661446158152,775.0
Sparta,Groningen,1.0,2.0,0.17192248367131657,0.3124747203791021,0.22123164677079915,775.0
Willem II,Utrecht,1.0,1.0,0.1795423026757004,0.25857316590960217,0.3243357052556252,775.0
Zwolle,Feyenoord,3.0,4.0,0.13881103734927822,0.22563707471865616,0.41316203913216404,775.0
Waalwijk,Sparta,0.0,1.0,0.18274053103306753,0.28525292335017166,0.2645174243761805,776.0
FC Emmen,Willem II,4.0,2.0,0.28239940343534065,0.25717069871220555,0.24413203745448317,776.0
Feyenoord,For Sittard,2.0,1.0,0.2908639123834574,0.2783712494538336,0.16492882856436628,776.0
Heerenveen,Den Haag,2.0,2.0,0.2854014874530198,0.2798376408675729,0.1688262480812528,776.0
Groningen,VVV Venlo,0.0,1.0,0.171417425132309,0.313013705344875,0.22071108290249872,776.0
Utrecht,Twente,2.0,1.0,0.14343441655952,0.28834723226595504,0.2854860828193732,776.0
AZ Alkmaar,Zwolle,2.0,0.0,0.42326285997836727,0.22189089160957912,0.10541565803189187,776.0
Vitesse,PSV Eindhoven,1.0,2.0,0.13061408616056386,0.2513735210390129,0.3607536246762903,776.0
Heracles,Ajax,1.0,0.0,0.15031015105374476,0.23603236100499547,0.3873437692659368,776.0
Willem II,Groningen,3.0,1.0,0.16778931428672722,0.26897830853615523,0.30832695854071956,777.0
Den Haag,Heracles,0.0,0.0,0.17126018441065427,0.24297626857616103,0.3642627222770819,777.0
VVV Venlo,For Sittard,0.0,0.0,0.2384153117651557,0.30910397725697825,0.15838259846444966,777.0
Zwolle,Vitesse,4.0,3.0,0.16320100311098204,0.2508630745430963,0.3496927045753032,777.0
Twente,Heerenveen,2.0,3.0,0.23371333967651473,0.30186851820076577,0.18013818371563525,777.0
Waalwijk,Utrecht,2.0,1.0,0.18217261209924848,0.28870916436127125,0.257899453352481,777.0
PSV Eindhoven,Feyenoord,1.0,1.0,0.30509439916471476,0.2620047433938648,0.19805658361028178,777.0
Sparta,FC Emmen,5.0,1.0,0.247548311320406,0.2840442500812242,0.20678548264610158,777.0
Ajax,AZ Alkmaar,0.0,2.0,0.22210184870075675,0.2797004393056409,0.24382315619205758,777.0
For Sittard,Zwolle,1.0,1.0,0.24916618936555196,0.2913118305922343,0.18650643213753856,778.0
AZ Alkmaar,Den Haag,4.0,0.0,0.405055787035799,0.23114109357796592,0.10550015039643383,778.0
FC Emmen,VVV Venlo,3.0,0.0,0.1460270898393402,0.27006884849135654,0.31794630553876513,778.0
Vitesse,Twente,1.0,0.0,0.15865286871704415,0.2723838715211393,0.30660961625689204,778.0
Heerenveen,Ajax,1.0,3.0,0.1472939350840243,0.27155529468192857,0.3144258690875607,778.0
Utrecht,Sparta,5.0,1.0,0.2168618566202445,0.3015200699866886,0.19965375399093888,778.0
Feyenoord,Willem II,2.0,0.0,0.4103698657494974,0.22558540882009334,0.15467133690915466,778.0
Heracles,Waalwijk,4.0,2.0,0.31787844583698116,0.2574572175013456,0.19500391348751417,778.0
Groningen,PSV Eindhoven,0.0,1.0,0.1082064730039747,0.26725237584038114,0.3394397324347512,778.0
Heerenveen,Willem II,2.0,0.0,0.45776799106825533,0.26501566929281906,0.08013431193623319,779.0
Zwolle,Feyenoord,0.0,2.0,0.11957163621410598,0.31028400201236117,0.37477016208448255,779.0
Twente,For Sittard,2.0,0.0,0.45584829974182783,0.25782486740890065,0.10417138778654939,779.0
FC Emmen,VVV Venlo,3.0,5.0,0.20906346183485172,0.31122098480629673,0.3033313075499942,779.0
Heracles,Den Haag,2.0,0.0,0.39464016813056196,0.2579286709371295,0.205338160376397,779.0
Sparta,Ajax,0.0,1.0,0.059004637996940515,0.11901692655779747,0.6928580486405823,779.0
Groningen,PSV Eindhoven,1.0,3.0,0.13170941506730163,0.36503467443324256,0.2954637588231487,779.0
Waalwijk,Vitesse,0.0,1.0,0.1388578410692822,0.29593298773446464,0.38098980187254927,779.0
VVV Venlo,Utrecht,1.0,1.0,0.19610655044641745,0.3604338519235443,0.24414235338776077,780.0
AZ Alkmaar,Zwolle,1.0,1.0,0.43277673039424575,0.24155372202611605,0.19279700876084632,780.0
Vitesse,Sparta,2.0,0.0,0.3426387246436764,0.308436162631014,0.16664694204311403,780.0
PSV Eindhoven,FC Emmen,2.0,1.0,0.4837864136752629,0.23919906811436353,0.10249846050571013,780.0
For Sittard,Heerenveen,1.0,3.0,0.04315448149305755,0.2740886338590846,0.46425242959722857,780.0
Den Haag,Groningen,0.0,1.0,0.130673803856669,0.3272634174915924,0.3443757596987501,780.0
Feyenoord,Twente,1.0,1.0,0.19350016165028272,0.37246217481389127,0.23046283982899313,780.0
Willem II,Heracles,4.0,0.0,0.22473003268423467,0.23428314002701564,0.42497894477345766,780.0
Ajax,Waalwijk,3.0,0.0,0.6145709929544191,0.16314370073488438,0.0929776427187377,780.0
Twente,Groningen,3.0,1.0,0.2185267732130149,0.37256232773879394,0.20561826199945965,781.0
Zwolle,Sparta,4.0,0.0,0.27292521836478484,0.2846148261627245,0.28901745788090094,781.0
For Sittard,AZ Alkmaar,3.0,3.0,0.1215081643204983,0.2263499145974662,0.4963940623554708,781.0
Heerenveen,VVV Venlo,1.0,0.0,0.30309021214646753,0.3855973657935088,0.0925434096162512,781.0
Ajax,Vitesse,2.0,1.0,0.4270687728743391,0.2453344794949005,0.1909962603388071,781.0
Feyenoord,Den Haag,4.0,2.0,0.3332209104679328,0.33310908931278466,0.13524258415461066,781.0
Utrecht,Waalwijk,3.0,1.0,0.31372853209620305,0.32705970444635424,0.1696520135147091,781.0
FC Emmen,Willem II,1.0,1.0,0.2900001480953952,0.2624187290546151,0.31508013968580734,781.0
Heracles,PSV Eindhoven,1.0,1.0,0.11325797393863316,0.22913085764804653,0.4950796299131049,781.0
Utrecht,Heerenveen,1.0,1.0,0.08274610689015752,0.39879154424512014,0.2960289254216518,782.0
Vitesse,Heracles,3.0,0.0,0.29237432940117064,0.29552400757294117,0.2492245736037299,782.0
VVV Venlo,Den Haag,1.0,2.0,0.34102809853574456,0.3039175234850779,0.17715598404894548,782.0
Twente,FC Emmen,1.0,1.0,0.3818240284846537,0.28066515507041795,0.17010941119096418,782.0
Groningen,Ajax,1.0,0.0,0.16470820315777723,0.267858792709774,0.4058123416492236,782.0
Sparta,AZ Alkmaar,4.0,4.0,0.16537579550373152,0.23984262082744973,0.45236824355959215,782.0
Willem II,Feyenoord,1.0,4.0,0.15214328739760366,0.2982945769573984,0.3682157232915791,782.0
PSV Eindhoven,For Sittard,2.0,0.0,0.5244872307350853,0.219401111189532,0.06473624165773799,782.0
Heracles,Waalwijk,0.0,1.0,0.3465952773045268,0.27223269113416826,0.23414310620548054,783.0
AZ Alkmaar,VVV Venlo,2.0,2.0,0.2710157543835324,0.2911034624647235,0.27912740906928113,783.0
